Jaar,Positie,Titel,Punten
2017,7,Wish you were Here,4
2017,8,Fix You,3
2017,9,Avond,2
2017,10,November Rain,1
2018,1,Bohemian Rhapsody,10
2018,2,Hotel California,9
2018,3,Piano Man,8
2018,4,Stairway to Heaven,7
2018,5,Wish you were Here,6
2018,6,Child in Time,5
2018,7,Black,4
2018,8,Africa,3
2018,9,Fix You,2
2018,10,Avond,1
2019,1,Bohemian Rhapsody,10
2019,2,Hotel California,9
2019,3,Piano Man,8
2019,4,Roller Coaster,7
2019,5,Stairway To Heaven,6
2019,6,Avond,5
2019,7,Black,4
2019,8,Fix You,3
2019,9,De Boer Dat Is De Keerl,2
2019,10,Wish you were Here,1
2020,1,Roller Coaster,10
2020,2,Bohemian Rhapsody,9
2020,3,Hotel California,8
2020,4,Piano Man,7
2020,5,Stairway to Heaven,6
2020,6,Black,5
2020,7,Avond,4
2020,8,Fix You,3
2020,9,Wish you were Here,2
2020,10,Heroes,1
