Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"SKL 5065, SKL.5065",The Rolling Stones,Get Yer Ya-Ya's Out! (The Rolling Stones In Concert),"Decca, Decca","LP, Album",,1970,4490110,Uncategorized,2021-03-13 08:13:39,,,
"WIGLP490X, WIGLP490",Arctic Monkeys,Live At The Royal Albert Hall,"Domino, Domino","2xLP, Album, Cle",,2020,16300691,Uncategorized,2020-12-21 01:11:20,,,
509996234921,Goldfish (4),Goldfish,EMI Music,2xLP,,2012,4970950,Uncategorized,2020-09-27 19:55:24,,,
"154-62792/3, 1A 154-62792/3",Queen,Live Killers,"EMI, EMI","2xLP, Album, Gat",,1979,9895618,Uncategorized,2020-12-21 01:00:02,,,
"1A 064-54079, TV 064-54079",Queen,Grootste Hits,"EMI, EMI","LP, Comp",,1981,3389077,Uncategorized,2021-03-13 08:26:32,,,
"EMC 3061, OC 062 ◦ 96 025",Queen,Sheer Heart Attack,"EMI, EMI","LP, Album, 2nd",,1974,11782118,Uncategorized,2021-03-13 08:11:38,,,
"EQ 5009, 7914801",Pink Floyd,Delicate Sound Of Thunder,"EMI, EMI","2xLP, Album, EMI",,1988,1221729,Uncategorized,2020-12-21 00:54:42,,,
"24 0675 1, 062-24 0675 1, 1A 062-24 0675 1",Queen,Live Magic,"EMI, EMI, EMI","LP, Album, Gat",,1986,586463,Uncategorized,2020-12-21 00:57:44,,,
EPC 86311,Wham!,Make It Big,Epic,"LP, Album",,1984,345059,Uncategorized,2020-10-05 20:34:43,,,
QE 38112,Michael Jackson,Thriller,Epic,"LP, Album, Pit",,1982,2911293,Uncategorized,2020-10-05 20:34:30,,,
EPC 82419,Meat Loaf,Bat Out Of Hell,"Epic, Cleveland International Records","LP, Album",,1977,1671466,Uncategorized,2020-10-05 20:33:48,,,
"PE 34188, 34188",Boston,Boston,"Epic, Epic","LP, Album, Pit",,1976,13125386,Uncategorized,2020-12-21 01:03:49,,,
EPC 26384,Europe (2),Wings Of Tomorrow,"Epic, Hot Records (4)","LP, Album",,1984,2541379,Uncategorized,2020-12-21 00:56:47,,,
EXCEL96584,Danny Vera,Pressure Makes Diamonds Live,Excelsior Recordings,"2xLP, Album, 180 + CD, Album, Promo",,2019,14513201,Uncategorized,2020-09-27 19:55:44,,,
EXCEL96617,Danny Vera,The New Now,Excelsior Recordings,"LP, Album, Whi + CD, Album",,2020,16203235,Uncategorized,2020-12-21 01:10:10,,,
FIXH 11,The Cure,The Head On The Door,Fiction Records,"LP, Album",,1985,472453,Uncategorized,2020-12-21 01:02:12,,,
"GEF 24425, DGC 24425",Nirvana,Nevermind,"Geffen Records, DGC, Sub Pop","LP, Album",,1991,8640170,Uncategorized,2021-03-13 08:48:43,,,
VVR723601,Mumford & Sons,Sigh No More,Gentlemen Of The Road,"LP, Album, Gat",,2009,6801839,Uncategorized,2021-03-13 08:32:38,,,
SHM 668,Bill Haley And His Comets,Rock Around The Clock,Hallmark Records,"LP, Comp",,0,411003,Uncategorized,2020-12-21 01:01:03,,,
1C 064-45 275,Scorpions,Lovedrive,"Harvest, EMI Electrola","LP, Album",,1979,459081,Uncategorized,2020-12-21 00:58:59,,,
ILPS 9498,Bob Marley & The Wailers,Exodus,Island Records,"LP, Album, Emb",,1977,525689,Uncategorized,2020-10-05 20:32:26,,,
8717931339100,Mumford & Sons,Sigh No More,"Island Records, Gentlemen Of The Road","LP, Album, Ltd, RE, Tur",,2020,16107454,Uncategorized,2020-12-21 01:07:08,,,
"205 904-270, 205 904",U2,"Live ""Under A Blood Red Sky""","Island Records, Island Records","LP, MiniAlbum",,1983,395330,Uncategorized,2021-03-13 08:28:07,,,
JETLX 527,Electric Light Orchestra,Secret Messages,Jet Records,"LP, Album",,1983,4624270,Uncategorized,2020-12-21 00:55:52,,,
JT-LA823-L2,Electric Light Orchestra,Out Of The Blue,Jet Records,"2xLP, Album",,1977,342681,Uncategorized,2020-12-21 01:05:25,,,
FREUDLP072,The Flamin' Groovies,Grease,Jungle Records,"2xLP, Comp, Ltd, RE, Vio",,2018,11897940,Uncategorized,2020-09-27 20:06:12,,,
NE 1051,The Moody Blues,Out Of This World,K-Tel,"LP, Comp, Dam",,1979,527962,Uncategorized,2020-12-21 00:57:21,,,
M76061,Dewolff,Tascam Tapes,Mascot Records (2),"LP, Album, Whi",,2020,14630056,Uncategorized,2020-09-27 20:05:35,,,
M76381,Dewolff,Wolffpack,Mascot Records (2),"LP, Album",,2021,17243329,Uncategorized,2021-02-18 02:02:26,,,
MCFC 3285,Alan Silvestri,'Back To The Future' (Music From The Motion Picture Soundtrack),MCA Records,"Cass, Album, Comp",,1985,5994593,Uncategorized,2021-03-13 08:25:10,,,
9102 503,10cc,Bloody Tourists,Mercury,"LP, Album, Gat",,1978,530784,Uncategorized,2020-10-05 20:34:03,,,
